scenario_id,object_id,n_valid_steps,pose_minADE,npose_minADE,ade_delta,ade_delta_pct,pose_minFDE,npose_minFDE,fde_delta,fde_delta_pct
78ad573283fb5a49,2670,80,0.29399806,1.2171055,0.92310745,75.84449,0.55794597,2.592853,2.034907,78.481384
971dfb467b358604,5125,38,0.18449375,1.1073384,0.92284465,83.33899,0.30153745,2.3869255,2.085388,87.36712
729a979ba8cbe536,4273,80,0.20747097,1.1291846,0.92171365,81.62648,0.6160749,3.0417528,2.4256778,79.74605
529c6e28ed055a2f,274,76,0.620072,1.5383557,0.9182837,59.69255,1.3366183,3.423557,2.0869389,60.958202
9dcfac545d6dfff8,5272,80,0.9804548,1.8958299,0.9153751,48.28361,1.9354565,3.9133081,1.9778516,50.54168
9d601141b0363feb,3334,80,0.3925361,1.3061069,0.9135708,69.9461,0.7725744,2.6803627,1.9077883,71.1765
556eab28e902b799,1114,75,2.9619355,3.8754554,0.91351986,23.571936,5.923744,7.476871,1.5531268,20.772417
dda5896f9ca1a6e2,3087,80,0.9502077,1.8624436,0.91223586,48.98059,3.1818914,5.0343895,1.852498,36.796875
43d8c298ce70093,4822,80,0.19796762,1.1084006,0.91043293,82.13934,0.28580645,2.3403385,2.054532,87.78782
8450e1592a9f214,3517,5,1.9456661,2.8528898,0.9072237,31.800165,2.5946362,3.9295657,1.3349295,33.971424
dd696a40788e0714,1079,78,0.30015385,1.2010748,0.900921,75.00956,0.6999968,2.6593864,1.9593896,73.67825
1441b2233c6e5146,5363,80,0.2941348,1.194958,0.9008232,75.385345,0.65739524,2.5380979,1.8807026,74.0989
1efafdbd162361e0,3339,80,0.54731876,1.4471501,0.89983135,62.179546,1.1328641,3.5511503,2.4182863,68.09868
2d97c5d2b679b550,2156,80,1.4702288,2.3696728,0.899444,37.956463,2.6395512,5.1726193,2.5330682,48.970707
15d32870678fc078,654,80,0.571879,1.4713085,0.89942944,61.131264,1.4210287,3.3042479,1.8832191,56.993885
3b42cd06908e38c2,2961,80,0.52644295,1.4251277,0.8986848,63.05995,1.0820503,2.4182305,1.3361802,55.25446
589e9dd426923162,4100,80,2.252522,3.1508985,0.89837646,28.511757,5.5404363,7.268658,1.7282219,23.776354
78fa65ea7819e84d,1206,80,0.89176655,1.7899675,0.898201,50.179737,1.8226179,3.748008,1.9253901,51.371025
4382cc6f1e8deda0,1470,80,0.44515967,1.342943,0.8977833,66.85193,1.0524637,3.071417,2.0189533,65.73361
4fed8b621e8b52c7,3786,80,0.47937456,1.3764187,0.8970442,65.17233,1.4368253,3.2514744,1.8146491,55.81004
170399d989240d55,1252,80,0.6586031,1.5538226,0.89521956,57.61401,1.4561471,3.4130068,1.9568597,57.335358
e54a77ad521ee39,22,79,0.41064143,1.3018134,0.89117193,68.4562,0.815775,2.802297,1.9865222,70.88906
e2e2fb9f9ef4589c,1576,78,0.97130436,1.8615296,0.89022523,47.822247,2.1896002,4.098049,1.9084489,46.569695
d8c0eef73d757b23,3358,80,0.8159231,1.7056282,0.88970506,52.1629,1.5349643,3.437575,1.9026108,55.347466
71ed8f3b9fbc2ba1,4086,80,0.69875795,1.588354,0.88959605,56.007416,1.4151447,3.347588,1.9324434,57.726437
18f3910300aee44c,3325,80,0.9919529,1.8807182,0.88876534,47.2567,1.8253825,3.7602925,1.93491,51.456367
9cde87893b8b4a5c,4263,80,0.6542827,1.5419229,0.88764024,57.567097,1.6899117,3.4457533,1.7558416,50.956684
1333a8922dc53f35,900,76,1.0829155,1.9699689,0.8870534,45.0288,2.3083177,4.078452,1.7701344,43.402115
387bc7cfce10067d,26,80,0.42586294,1.3123977,0.8865348,67.55077,0.89486074,2.8368394,1.9419787,68.45571
15ba624c7ff6b480,4102,80,0.44659323,1.3306907,0.8840975,66.43899,0.8882991,2.7842915,1.8959924,68.09605
48037a366207e35e,2134,25,0.8892793,1.7729877,0.8837084,49.842896,1.1471779,2.862534,1.7153561,59.924393
c051802736973af7,2523,80,0.25268432,1.1361854,0.88350105,77.76029,0.6132137,2.2981536,1.6849399,73.31711
fed2e61984201b6,4043,80,0.94077224,1.8220001,0.8812279,48.365963,2.3958285,4.33906,1.9432313,44.78462
de1a4420c21a92a6,1815,80,0.44791943,1.3288658,0.88094634,66.293106,0.9840134,2.8778238,1.8938105,65.80703
c215579c44e19ead,867,80,0.5792696,1.4580619,0.87879235,60.271263,0.93313515,2.867349,1.9342138,67.45652
eb0b99aa1426c924,4013,80,1.1696458,2.0474162,0.8777704,42.872105,2.1863387,4.1136107,1.9272721,46.851105
85d6ef715077c105,4037,80,0.22734849,1.1042894,0.8769409,79.41223,0.34143823,2.2682343,1.926796,84.94695
abdc1aa5fde95af4,2583,80,0.8915369,1.7683871,0.8768502,49.584743,1.479255,3.2806275,1.8013725,54.90939
aff0750333eee293,2068,80,0.7502886,1.6260517,0.87576306,53.858257,1.6427194,3.4773605,1.8346411,52.759586
c394a2ea0825b1ce,3133,80,1.173412,2.0467227,0.8733107,42.668736,2.9372997,4.537718,1.6004181,35.269226
6a495aaad06f8e7e,73,80,0.7042717,1.5771214,0.8728497,55.344486,1.296647,3.2669265,1.9702796,60.30988
5a392626b4152f17,3907,80,0.91688555,1.7883183,0.8714327,48.72917,1.7897121,3.7094963,1.9197842,51.753227
2963c3607b8019b9,3249,80,0.10847316,0.97982013,0.87134695,88.929276,0.18577185,2.2167275,2.0309556,91.61954
646597b908236566,4141,80,1.4849346,2.35535,0.87041545,36.954823,3.1530633,5.0486937,1.8956304,37.546947
81832996f5ffce66,1560,80,1.1706517,2.0401387,0.86948705,42.61902,2.87424,4.818376,1.9441361,40.34837
fb3c27453bf9ccf,4461,75,1.3297015,2.1987953,0.8690938,39.525906,2.2779868,4.3856754,2.1076887,48.058475
bd564e98cc5c9347,2306,80,1.6050466,2.4738045,0.86875784,35.11829,3.6375124,5.3960304,1.758518,32.589104
675e56cb8a9421fb,2625,75,0.26191565,1.1278522,0.8659365,76.77748,0.5173771,2.4542835,1.9369063,78.919426
48a383ad74aa979c,498,60,0.17236064,1.0378058,0.86544514,83.39182,0.16902803,2.166311,1.997283,92.197426
fd10631f5e461350,4479,80,1.0699213,1.934789,0.8648677,44.70088,2.6391222,4.429048,1.7899258,40.41333
c54ec77eae49cc98,1908,80,0.18532889,1.0498438,0.8645149,82.347,0.2671543,2.205319,1.9381646,87.88591
99819e509907299c,6873,80,1.1013335,1.965255,0.8639215,43.959766,2.2201645,4.094002,1.8738372,45.77031
c058d5c920a886c0,1977,80,0.31831673,1.1804782,0.8621615,73.034935,0.72736853,2.5322905,1.8049219,71.27626
d1b1fd6112892b45,2291,80,0.26644745,1.1271955,0.86074805,76.361916,0.8617726,2.4675984,1.6058259,65.07647
22b2d0608d31e8a1,415,80,1.0922168,1.9520991,0.85988224,44.049107,2.3851979,4.211808,1.8266103,43.368793
3dcf83891c34263f,2133,70,0.3240552,1.1834974,0.85944223,72.61885,0.8018057,2.722304,1.9204984,70.5468
824a0d32dc5d333c,2485,80,0.44898373,1.3076583,0.8586746,65.66506,1.0295211,2.925521,1.8959998,64.80897
246caa1b0ffeca8d,5001,80,0.09210947,0.9494627,0.8573532,90.298775,0.078508206,2.0202422,1.941734,96.11392
7f1775686712791a,433,80,0.3463483,1.2034562,0.8571079,71.22053,0.7726318,2.611238,1.8386061,70.411285
5ba66be810a4b85c,1937,80,0.87857884,1.734307,0.8557282,49.341217,1.7453722,3.6175146,1.8721424,51.752174
26597a5a95c142ef,1549,76,0.115267456,0.9699468,0.85467935,88.116104,0.08384374,2.2286322,2.1447885,96.237885
b5e5ece83279cb91,3446,80,0.17564714,1.0293132,0.85366607,82.9355,0.19886166,2.2239802,2.0251186,91.058304
2622a8c1b17ed41a,2811,80,0.88707983,1.7391726,0.85209274,48.994144,1.6745163,3.4530776,1.7785612,51.506554
7f4e6e89749705ab,1647,80,0.48463792,1.3357477,0.8511098,63.717854,0.8078991,2.7550519,1.9471527,70.67572
790c12ffed169b7d,268,67,0.053762805,0.90128934,0.84752655,94.034904,0.09892065,2.0611155,1.9621948,95.20062
